seed,device,total_labels,arm,overall_accuracy,common_accuracy,rare_rule_accuracy,stochastic_pocket_accuracy,active_experts,birth_count,rare_rule_births,stochastic_false_births,surprise_rate,proposal_count,stochastic_rejections,expected_uncertainty_expert_0,rare_switch_margin_mean,stochastic_switch_margin_mean,forward_work,backward_work
7,cuda,1024,raw_loss,0.8339999914169312,0.9218472838401794,0.5973333120346069,0.5415549874305725,2,1,0,0,0.0908203125,1,0,0.35797665369649806,,,32163,26924
7,cuda,1024,expected_only,0.8103333115577698,0.8992007374763489,0.5519999861717224,0.5335120558738708,1,0,0,0,0.1787109375,0,0,0.04085603112840467,,,5048,1024
7,cuda,1024,unvalidated,0.843666672706604,0.9369449615478516,0.5999999642372131,0.525469183921814,2,1,0,0,0.076171875,1,0,0.3521400778210117,,,32575,27324
7,cuda,1024,joint,0.8103333115577698,0.8992007374763489,0.5519999861717224,0.5335120558738708,1,0,0,0,0.1376953125,3,1,0.19844357976653695,,-7.579123628433495,70026,63784
7,cuda,1024,environment_oracle,0.8980000019073486,0.9622557759284973,0.9386666417121887,0.46916890144348145,3,0,0,0,0.0,0,0,,,,19096,5760
7,cuda,1536,single,0.8196666836738586,0.9076376557350159,0.5786666870117188,0.5308310985565186,1,0,0,0,0.0,0,0,0.1828793774319066,,,6072,1536
7,cuda,1536,raw_loss,0.8176666498184204,0.8894316554069519,0.6933333277702332,0.5093833804130554,3,2,0,1,0.07161458333333333,2,0,0.4027237354085603,,-11.464582334338289,74946,67436
7,cuda,1536,expected_only,0.8196666836738586,0.9076376557350159,0.5786666870117188,0.5308310985565186,1,0,0,0,0.20377604166666666,0,0,0.0019455252918287938,,,6072,1536
7,cuda,1536,unvalidated,0.8503333330154419,0.9378330707550049,0.6639999747276306,0.5093833804130554,3,2,0,1,0.061848958333333336,2,0,0.2801556420233463,,-18.196761022387605,74530,67276
7,cuda,1536,joint,0.8616666793823242,0.9080817103385925,0.9146666526794434,0.5281501412391663,2,1,1,0,0.1328125,5,2,0.1926070038910506,18.139143097106665,-11.678470146950035,133099,124636
7,cuda,1536,environment_oracle,0.9049999713897705,0.9675843715667725,0.9386666417121887,0.49329760670661926,3,0,0,0,0.0,0,0,,,,21144,5760
